timestamp,REAL/FAKE,BASE_BYTES,LOAD_BYTES,FINAL_BYTES,REAL_BYTES
2025-06-18 17:48:48,REAL,2650285976,686,2650286662,2650286662
2025-06-18 17:48:50,REAL,2650286662,487,2650287149,2650287149
2025-06-18 17:48:52,REAL,2650287149,485,2650287634,2650287634
2025-06-18 17:48:54,REAL,2650287634,480,2650288114,2650288114
2025-06-18 17:48:56,REAL,2650288114,481,2650288595,2650288595
2025-06-18 17:48:58,REAL,2650288595,485,2650289080,2650289080
2025-06-18 17:49:00,REAL,2650289080,490,2650289570,2650289570
2025-06-18 17:49:02,REAL,2650289570,475,2650290045,2650290045
2025-06-18 17:49:04,REAL,2650290045,485,2650290530,2650290530
2025-06-18 17:49:06,REAL,2650290530,11054,2650301584,2650301584
2025-06-18 17:49:08,REAL,2650301584,10450,2650312034,2650312034
2025-06-18 17:49:10,REAL,2650312034,10321,2650322355,2650322355
2025-06-18 17:49:12,REAL,2650322355,10252,2650332607,2650332607
2025-06-18 17:49:14,REAL,2650332607,10245,2650342852,2650342852
2025-06-18 17:49:16,REAL,2650342852,10258,2650353110,2650353110
2025-06-18 17:49:18,REAL,2650353110,10244,2650363354,2650363354
2025-06-18 17:49:20,REAL,2650363354,6552,2650369906,2650369906
2025-06-18 17:49:22,REAL,2650369906,487,2650370393,2650370393
2025-06-18 17:49:24,REAL,2650370393,488,2650370881,2650370881
2025-06-18 17:49:26,REAL,2650370881,478,2650371359,2650371359
2025-06-18 17:49:28,REAL,2650371359,489,2650371848,2650371848
2025-06-18 17:49:30,REAL,2650371848,481,2650372329,2650372329
2025-06-18 17:49:32,REAL,2650372329,477,2650372806,2650372806
2025-06-18 17:49:34,REAL,2650372806,491,2650373297,2650373297
2025-06-18 17:49:36,REAL,2650373297,485,2650373782,2650373782
2025-06-18 17:49:38,REAL,2650373782,543,2650374325,2650374325
2025-06-18 17:49:40,REAL,2650374325,483,2650374808,2650374808
2025-06-18 17:49:42,REAL,2650374808,479,2650375287,2650375287
2025-06-18 17:49:44,REAL,2650375287,484,2650375771,2650375771
2025-06-18 17:49:46,REAL,2650375771,483,2650376254,2650376254
2025-06-18 17:49:48,REAL,2650376254,536,2650376790,2650376790
2025-06-18 17:49:50,REAL,2650376790,486,2650377276,2650377276
2025-06-18 17:49:52,REAL,2650377276,481,2650377757,2650377757
2025-06-18 17:49:54,REAL,2650377757,485,2650378242,2650378242
2025-06-18 17:49:56,REAL,2650378242,480,2650378722,2650378722
2025-06-18 17:49:58,REAL,2650378722,484,2650379206,2650379206
2025-06-18 17:50:00,REAL,2650379206,486,2650379692,2650379692
2025-06-18 17:50:02,REAL,2650379692,485,2650380177,2650380177
2025-06-18 17:50:04,REAL,2650380177,483,2650380660,2650380660
2025-06-18 17:50:06,REAL,2650380660,479,2650381139,2650381139
2025-06-18 17:50:08,REAL,2650381139,478,2650381617,2650381617
2025-06-18 17:50:10,REAL,2650381617,12175,2650393792,2650393792
2025-06-18 17:50:12,REAL,2650393792,10259,2650404051,2650404051
2025-06-18 17:50:14,REAL,2650404051,10253,2650414304,2650414304
2025-06-18 17:50:16,REAL,2650414304,10316,2650424620,2650424620
2025-06-18 17:50:18,REAL,2650424620,10253,2650434873,2650434873
2025-06-18 17:50:20,REAL,2650434873,10244,2650445117,2650445117
2025-06-18 17:50:22,REAL,2650445117,10325,2650455442,2650455442
2025-06-18 17:50:24,REAL,2650455442,5244,2650460686,2650460686
2025-06-18 17:50:26,REAL,2650460686,539,2650461225,2650461225
2025-06-18 17:50:28,REAL,2650461225,487,2650461712,2650461712
2025-06-18 17:50:30,REAL,2650461712,489,2650462201,2650462201
